date_time,_tv_non-conference_regular_season#opponent_non-conference_regular_season#site_(attendance)_city,_state_non-conference_regular_season
November 4, 2025* 7:00 p.m., ESPN+#Florida Memorial#Eleanor R. Baldwin Arena (480) Boca Raton, FL
November 8, 2025* 7:00 p.m., ESPN+#at Kennesaw State#Convocation Center (567) Kennesaw, GA
November 13, 2025* 7:00 p.m., ACCNX/ESPN+#at Miami (FL)#Watsco Center (791) Coral Gables, FL
November 20, 2025* 8:00 p.m., ESPN+#at South Alabama#Mitchell Center (379) Mobile, AL
November 24, 2025* 7:00 p.m., ESPN+#Florida#Eleanor R. Baldwin Arena (831) Boca Raton, FL
November 27, 2025* 12:00 p.m., ESPN+#Air Force FAU Thanksgiving Classic#Eleanor R. Baldwin Arena (457) Boca Raton, FL
November 28, 2025* 1:00 p.m., ESPN+#Wright State#Eleanor R. Baldwin Arena Boca Raton, FL
December 3, 2025* 7:30 p.m., ESPN+#at Western Kentucky#E. A. Diddle Arena Bowling Green, KY
December 12, 2025* 11:00 a.m., ESPN+#Florida Gulf Coast#Eleanor R. Baldwin Arena Boca Raton, FL
December 15, 2025* 7:00 p.m., ESPN+#FIU#Eleanor R. Baldwin Arena Boca Raton, FL
December 19, 2025* 1:00 p.m., ESPN+#vs. UMass FIU Christmas Tournament#Ocean Bank Convocation Center Miami, FL
December 20, 2025* 11:00 a.m., ESPN+#at FIU FIU Christmas Tournament#Ocean Bank Convocation Center Miami, FL
American regular season#American regular season#American regular season
December 30, 2025 7:00 p.m., ESPN+#North Texas#Eleanor R. Baldwin Arena Boca Raton, FL
January 3, 2026 2:00 p.m., ESPN+#Rice#Eleanor R. Baldwin Arena Boca Raton, FL
January 7, 2026 2:00 p.m., ESPN+#at Memphis#Elma Roane Fieldhouse Memphis, TN
January 10, 2026 3:00 p.m., ESPN+#at UAB#Bartow Arena Birmingham, AL
January 13, 2026 7:00 p.m., ESPN+#Wichita State#Eleanor R. Baldwin Arena Boca Raton, FL
January 16, 2026 7:00 p.m., ESPN+#UTSA#Eleanor R. Baldwin Arena Boca Raton, FL
January 20, 2026 6:30 p.m., ESPN+#at Charlotte#Dale F. Halton Arena Charlotte, NC
January 24, 2026 2:00 p.m., ESPN+#South Florida#Eleanor R. Baldwin Arena Boca Raton, FL
January 27, 2026 7:30 p.m., ESPN+#at Tulsa#Reynolds Center Tulsa, OK
January 31, 2026 3:00 p.m., ESPN+#at North Texas#The Super Pit Denton, TX
February 7, 2026 2:00 p.m., ESPN+#UAB#Eleanor R. Baldwin Arena Boca Raton, FL
February 10, 2026 7:00 p.m., ESPN+#at Wichita State#Charles Koch Arena Wichita, KS
February 14, 2026 2:00 p.m., ESPN+#Tulsa#Eleanor R. Baldwin Arena Boca Raton, FL
February 17, 2026 6:00 p.m., ESPN+#at East Carolina#Williams Arena Greenville, NC
February 21, 2026 7:00 p.m., ESPN+#at South Florida#Yuengling Center Tampa, FL
February 24, 2026 7:00 p.m., ESPN+#Charlotte#Eleanor R. Baldwin Arena Boca Raton, FL
March 3, 2026 7:00 p.m., ESPN+#Tulane#Eleanor R. Baldwin Arena Boca Raton, FL
March 7, 2026 2:00 p.m., ESPN+#at Temple#Liacouras Center Philadelphia, PA
American tournament#American tournament#American tournament
