dataset,split,example_idx,setup_id,batch_idx,annotator_id,status,start,end,annotator_group
t2t,test,0,claim-1-lotnlgdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-14-lotnlggemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-12-lotnlggemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-18-lotnlgllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-13-lotnlggemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-17-lotnlgllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-5-lotnlgdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-10-lotnlgqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-4-lotnlgdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-11-lotnlggemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-21-attention,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-9-lotnlgqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-15-lotnlggemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-19-lotnlgllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-3-lotnlgdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-20-lotnlgllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-8-lotnlgqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-16-lotnlgllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-2-lotnlgdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-7-lotnlgqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,0,claim-6-lotnlgqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-3-freshtabqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-13-freshtabgemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-15-freshtabgemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-8-freshtabdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-4-freshtabqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-1-freshtabqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-19-freshtabllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-9-freshtabdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-17-freshtabllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-11-freshtabgemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-5-freshtabqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-6-freshtabdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-14-freshtabgemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-7-freshtabdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-21-attention,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-18-freshtabllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-20-freshtabllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-2-freshtabqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-16-freshtabllama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-12-freshtabgemma,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,1,claim-10-freshtabdeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,2,claim-21-attention,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,2,claim-16-diversellama,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,2,claim-7-diverseqwen,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
t2t,test,2,claim-14-diversedeepseek,0,678fd5da7891fe38414d8243,finished,1752835141.0,1752839758.0,0
