,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,2-1458666-4.html.csv,sport,superlative,The United States has the highest total wins in the World Golf Championships.,1,1
1,2-1458666-4.html.csv,sport,simple,Japan and Wales each have 1 team win but no individual winners.,1,0
2,2-1458666-4.html.csv,sport,count,"There are 3 nations with exactly 5 total wins: Australia, England, and South Africa.",0,0
3,2-1458666-4.html.csv,sport,comparative,England has more individual wins than team wins in the World Golf Championships.,0,0
4,2-1458666-4.html.csv,sport,unique,There are 11 different nations represented in the World Golf Championships with total wins ranging from 1 to 32.,1,1
5,2-17814838-6.html.csv,sport,superlative,The highest attendance in the 2008-09 FA Cup matches was recorded at Manchester United vs Tottenham Hotspur with 75014 spectators.,1,1
6,2-17814838-6.html.csv,sport,aggregation,The average attendance across all matches in the 2008-09 FA Cup third round was approximately 22600.,1,1
7,2-17814838-6.html.csv,sport,negation,No match other than Arsenal's replay had an attendance exceeding 50000.,0,1
8,2-17814838-6.html.csv,sport,comparative,The attendance for Arsenal's replay against Cardiff City was higher than the initial tie at Cardiff.,1,1
9,2-17814838-6.html.csv,sport,simple,"Everton played two matches, winning their replay against Liverpool with a score of 1-0.",1,1
10,2-170969-2.html.csv,mix,superlative,Saint James has the largest area in Charlotte County with 555.99 km².,1,1
11,2-170969-2.html.csv,mix,aggregation,"The average population of all parishes in Charlotte County is approximately 1,000 residents.",1,1
12,2-170969-2.html.csv,mix,comparative,Saint George has a higher population than Pennfield by 154 residents.,1,1
13,2-170969-2.html.csv,mix,count,There are 16 parishes listed in Charlotte County.,1,1
14,2-170969-2.html.csv,mix,ordinal,"Grand Manan is the smallest parish with an area of 6.20 km², ranking 4057th out of 5008.",1,1
15,2-14255774-8.html.csv,sport,simple,"The Diamondbacks played against the Cardinals on September 1 with an attendance of 35,075.",0,1
16,2-14255774-8.html.csv,sport,aggregation,The total number of games played in September was 26.,1,1
17,2-14255774-8.html.csv,sport,superlative,"The highest attendance recorded during the month was 54,137 on September 7 against the Dodgers.",1,1
18,2-14255774-8.html.csv,sport,negation,"The Diamondbacks did not win any game with an attendance lower than 22,616.",0,1
19,2-14255774-8.html.csv,sport,count,There were 4 games played against the Giants in September.,1,1
20,2-17964087-2.html.csv,politics,count,There are 2 appointees with British nationality in the political appointments system.,1,1
21,2-17964087-2.html.csv,politics,unique,"The table includes appointees from three different foreign nationalities: British, Singaporean, and none.",1,1
22,2-17964087-2.html.csv,politics,superlative,Victor Lo Yik-kee is the oldest appointee at 55 years old.,1,1
23,2-17964087-2.html.csv,politics,simple,Katherine Ng Kit-shuen is from Singapore and holds a portfolio in financial services and the treasury.,1,1
24,2-17964087-2.html.csv,politics,ordinal,Jeremy Young Chit-on is the second youngest appointee at 32 years old.,0,0
