,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,Q10872948_47.csv,mix ,count,"There are 7 different types of 'Wartime honorary titles, and model unit honors' listed in the table.",0,1
1,Q10872948_47.csv,mix ,unique,The Order of the Red Banner and Order of the Red Star are the only two awards categorized as 'The top wartime honors'.,1,1
2,Q10872948_47.csv,mix ,superlative,"Among all the entries, the 'Wartime merit awards Collective merit honors' has the highest number of individual classes listed.",1,0
3,Q10872948_47.csv,mix ,comparative,The 'Peacetime merit awards Collective merit honors (may be granted 2-20 times)' have more individual and collective classes compared to 'Wartime merit awards Collective merit honors'.,1,1
4,Q10872948_47.csv,mix ,simple,"The 'Collective Second Class' under 'Wartime merit awards Collective merit honors' is the only entry that has a non-NA value in the comments column, indicating it was awarded 2023－ times.",1,0
5,Q18225599_77.csv,mix ,count,"There are 4 members who started their term on February 23, 1967 and ended it on May 10, 1971 in the KVP parliamentary group.",0,0
6,Q18225599_77.csv,mix ,superlative,"Piet Aalberse Jr. has the shortest term among all members listed, ending his term on March 15, 1969.",1,1
7,Q18225599_77.csv,mix ,comparative,Frans Andriessen served a longer term than Piet Dankert in the KVP parliamentary group.,0,1
8,Q18225599_77.csv,mix ,unique,"There are no two members who changed their parliamentary groups from KVP to any other group except Jacques Aarden, who moved to Group-Aarden.",1,1
9,Q18225599_77.csv,mix ,all,"All members of the CHU parliamentary group listed in the table assumed office on February 23, 1967.",1,1
10,Q15118566_61.csv,mix ,superlative,"Luis Fernando Guachalla was the longest-serving ambassador of Bolivia to the United States, serving two terms from September 21, 1936 to March 31, 1942.",1,1
11,Q15118566_61.csv,mix ,count,There were 5 different ambassadors accredited during the presidency of Víctor Paz Estenssoro.,0,0
12,Q15118566_61.csv,mix ,ordinal,"The first ambassador to be accredited after the legation was raised to an embassy on March 31, 1942 was Luis Fernando Guachalla.",0,1
13,Q15118566_61.csv,mix ,comparative,More ambassadors were designated during the presidency of Bautista Saavedra than during the presidency of Daniel Salamanca.,1,1
14,Q15118566_61.csv,mix ,all,"All ambassadors accredited before March 31, 1942 served in a legation rather than an embassy.",0,1
15,Q9149650_55.csv,mix ,superlative,Franz Joseph I appointed the most ambassadors to Italy among all Austrian monarchs listed in the table.,1,1
16,Q9149650_55.csv,mix ,count,There were a total of 10 different individuals serving as Austrian ambassadors or envoys to Italy between 1866 and 1945.,0,1
17,Q9149650_55.csv,mix ,ordinal,Kajetan von Mérey was the last ambassador accredited before the breakdown of relations due to World War I in 1915.,1,0
18,Q9149650_55.csv,mix ,comparative,"The term of service for Max Löwenthal-Chlumecky, from 1955 to 1972, was longer than that of any other ambassador listed after World War II.",0,0
19,Q9149650_55.csv,mix ,unique,Alois Kübeck von Kübau is the only person who served two non-consecutive terms as an Austrian ambassador to Italy according to the table.,1,1
20,Q11662201_59.csv,mix ,superlative,"Masaomi Kitadai has the longest term as governor of Aomori Prefecture, having served from 20 August 1873 to 17 August 1876 and again from 17 August 1876 to 22 August 1876.",1,0
21,Q11662201_59.csv,mix ,count,"There are 5 governors who were residents of Kumamoto Prefecture, which is the most common residence among all listed governors.",1,1
22,Q11662201_59.csv,mix ,comparative,"The term start date for Takeda Chiyosaburo on 12 June 1908 is later than that of Shotaro Nishizawa, who started his term on 17 November 1904.",1,1
23,Q11662201_59.csv,mix ,ordinal,"Noda Hiromichi was the first governor of Aomori Prefecture, starting his term on 5 September 1871.",1,1
24,Q11662201_59.csv,mix ,unique,"All governors listed in the table are from different prefectures, with no two governors sharing the same residence except for Kumamoto Prefecture, which has 5 representatives.",1,0
25,Q1321872_2.csv,mix ,superlative,"Aldo Moro had the longest continuous term as Minister of Foreign Affairs from August 5, 1969, to June 26, 1972, spanning 2 years and 326 days.",1,1
26,Q1321872_2.csv,mix ,count,There were a total of 4 different governments led by De Gasperi that had a change in the Minister of Foreign Affairs during their terms.,1,1
27,Q1321872_2.csv,mix ,comparative,"Giuseppe Pella's term as Minister of Foreign Affairs was longer when he served under Prime Minister Zoli (1 year, 43 days) compared to his previous term under Prime Minister Pella himself (154 days).",0,0
28,Q1321872_2.csv,mix ,unique,No two Ministers of Foreign Affairs from the Italian Liberal Party were appointed during the period covered in this table.,0,1
29,Q1321872_2.csv,mix ,all,All terms of office that began or ended between 1946 and 1958 involved ministers who belonged to either the Christian Democracy or the Italian Republican Party.,1,1
30,Q6619024_39.csv,mix ,simple,The film 'Mujo' was directed by Akio Jissoji and is a Drama from Japan.,1,1
31,Q6619024_39.csv,mix ,count,"There are three films in the table that belong to the 'Women in prison film' genre, all of which were made in Japan.",0,0
32,Q6619024_39.csv,mix ,comparative,"The film 'Last Tango in Paris' from Italy and France has a more serious genre (Drama) compared to 'The Swinging Cheerleaders' from the USA, which is a Comedy.",1,1
33,Q6619024_39.csv,mix ,superlative,"The film with the longest title in the list is 'Female Convict Scorpion: Beast Stable', directed by Shunya Itō.",1,1
34,Q6619024_39.csv,mix ,unique,"There are no two films in this list that share the exact same genre combination, indicating a diverse range of genres within erotic films of the 2010s.",1,1
35,Q4436065_22.csv,mix ,superlative,"Sergei Slipchenko had the longest tenure as Ambassador of Russia to Tanzania from December 26, 1972, to April 2, 1980.",1,1
36,Q4436065_22.csv,mix ,aggregation,There were a total of 7 ambassadors appointed by Russia to Tanzania between 1964 and 1991.,1,1
37,Q4436065_22.csv,mix ,negation,"Andrei Fialkovsky did not serve as ambassador for a full year, his term lasting only from June 30, 1989, to November 16, 1989.",1,0
38,Q4436065_22.csv,mix ,comparative,Vyacheslav Ustinov's appointment date was earlier than the presentation of his credentials by about a month and a half.,0,0
39,Q4436065_22.csv,mix ,unique,Andrei Timoshchenko is the only ambassador listed who did not have any specific notes recorded in the table.,0,1
40,Q6635366_45.csv,mix ,superlative,Total DramaRama had the most recent finale date among all programs listed.,1,1
41,Q6635366_45.csv,mix ,count,Five out of six programs have reruns that continue to the present day.,1,1
42,Q6635366_45.csv,mix ,comparative,Supernoobs had a longer broadcast period than Total DramaRama.,0,1
43,Q6635366_45.csv,mix ,unique,Total DramaRama is the only program that ended in 2023.,1,1
44,Q6635366_45.csv,mix ,simple,"The Day My Butt Went Psycho! premiered on June 12, 2014 and had its finale on June 30, 2015.",1,1
