,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,Q10872948_47.csv,mix ,count,"There are 27 different types of awards, honors, and merits listed in the table for the armed forces of China.",1,1
1,Q10872948_47.csv,mix ,unique,"All the entries under 'times_awarded' are '2023－', indicating a unique year or period when these awards were given or recognized.",0,1
2,Q10872948_47.csv,mix ,simple,The Order of the Red Banner and the Order of the Red Star are both considered the top wartime honors according to the comments provided in the table.,1,1
3,Q10872948_47.csv,mix ,ordinal,"The first type of award listed is the 'Order of the Red Banner', indicating its prominence or priority among the awards for the armed forces of China.",1,1
4,Q10872948_47.csv,mix ,all,"All entries under the category 'Wartime honorary titles, and model unit honors' have no comments provided in the table.",0,1
5,Q18225599_77.csv,mix ,count,There are 50 members in the House of Representatives listed in the table.,1,1
6,Q18225599_77.csv,mix ,superlative,"The longest-serving member from the start date of 23 February 1967 to the end date of 10 May 1971 is tied among several representatives, including Willem Aantjes and Jacques Aarden.",0,1
7,Q18225599_77.csv,mix ,simple,Piet Aalberse Jr. was a member of the KVP parliamentary group and served from 23 February 1967 to 15 March 1969.,1,1
8,Q18225599_77.csv,mix ,all,All members listed in the table assumed office on or after 23 February 1967 and ended their term on or before 10 May 1971.,0,0
9,Q18225599_77.csv,mix ,unique,"There are multiple unique parliamentary groups represented in the House of Representatives, including KVP, ARP, VVD, SGP, CPN, PvdA, CHU, D66, BP, and Group-Aarden.",1,1
10,Q15118566_61.csv,mix ,simple,"The first ambassador of Bolivia to the United States was Juan Francisco Velarde Vaca, who was designated in 1889.",1,1
11,Q15118566_61.csv,mix ,count,There are more than 20 different ambassadors of Bolivia to the United States listed in the table.,0,0
12,Q15118566_61.csv,mix ,unique,"Víctor Andrade Uzquiano is one of the ambassadors who served multiple non-consecutive terms as he was appointed on different dates, specifically July 29, 1952, and January 15, 1960.",0,0
13,Q15118566_61.csv,mix ,ordinal,"Luis Fernando Guachalla was the first ambassador to be accredited after the legation was raised to an embassy on March 31, 1942, with his accreditation date being October 6, 1936, for a previous term and then again on March 31, 1942.",0,1
14,Q15118566_61.csv,mix ,superlative,"Among the listed ambassadors, Víctor Andrade Uzquiano has the record of serving under the most different presidents or during significant events as an ambassador or chargé d'affaires multiple times.",0,0
15,Q9149650_55.csv,mix ,simple,Alois Kübeck von Kübau was the first ambassador of Austria to Italy after the establishment of diplomatic relations in 1866.,0,1
16,Q9149650_55.csv,mix ,count,"There are 17 ambassadors listed in the table, representing different periods and governments.",1,1
17,Q9149650_55.csv,mix ,superlative,"Felix von Wimpffen had the longest term as ambassador, serving from December 20, 1871, to July 5, 1876, and again from December 8, 1879, to May 5, 1882.",1,1
18,Q9149650_55.csv,mix ,unique,"All ambassadors were appointed by either Franz Joseph I or another head of state, with no instances of self-appointment or appointment by a non-governmental entity.",1,1
19,Q9149650_55.csv,mix ,ordinal,"Heinrich Karl von Haymerle was the third ambassador to serve after the establishment of diplomatic relations, starting his term on January 14, 1877.",0,1
20,Q11662201_59.csv,mix ,count,There are 46 different governors listed in the table.,1,0
21,Q11662201_59.csv,mix ,superlative,"Kumamoto Prefecture is the residence of the most governors listed in the table, with a total of 6 governors.",1,1
22,Q11662201_59.csv,mix ,ordinal,"Noda Hiromichi was the first governor of Aomori Prefecture according to the list, starting his term on 5 September 1871.",1,1
23,Q11662201_59.csv,mix ,unique,There are 24 unique prefectures represented as residences among the governors listed in the table.,1,0
24,Q11662201_59.csv,mix ,simple,"Masaomi Kitadai is noted to have been reelected, indicating at least one instance of a governor serving non-consecutive terms.",1,0
25,Q1321872_2.csv,mix ,superlative,Carlo Sforza had the longest tenure as Minister of Foreign Affairs with 4 years and 174 days in office.,1,1
26,Q1321872_2.csv,mix ,count,There were a total of 5 different ministers from the Christian Democracy party who served as Ministers of Foreign Affairs during the period covered by the table.,1,1
27,Q1321872_2.csv,mix ,comparative,Amintore Fanfani had a longer cumulative tenure as Minister of Foreign Affairs compared to Attilio Piccioni.,1,1
28,Q1321872_2.csv,mix ,aggregation,The average time in office for all Ministers of Foreign Affairs listed was approximately 1 year and 122 days.,1,1
29,Q1321872_2.csv,mix ,simple,"Aldo Moro served as Minister of Foreign Affairs under four different governments: Rumor II, Rumor III Colombo, and Andreotti I.",1,1
30,Q6619024_39.csv,mix ,count,There are 5 different countries represented in the list of erotic films of the 2010s.,1,1
31,Q6619024_39.csv,mix ,superlative,Japan is the country with the highest number of productions listed in the table.,1,0
32,Q6619024_39.csv,mix ,unique,"The genres 'Nunsploitation' and 'Women in prison film' are uniquely represented by multiple films, indicating a specific trend in erotic cinema during the 2010s.",1,0
33,Q6619024_39.csv,mix ,simple,"The film 'Vampyros Lesbos' is directed by Jesús Franco and stars Ewa Strömberg, Soledad Miranda, and Andrea Montchal.",1,1
34,Q6619024_39.csv,mix ,comparative,"The USA has produced more films listed in the table than Finland but fewer than Japan, indicating varying levels of production across countries.",0,0
35,Q4436065_22.csv,mix ,simple,Andrei Timoshchenko was appointed as an ambassador of Russia to Tanzania on 26 April 1964.,1,1
36,Q4436065_22.csv,mix ,count,There are 7 ambassadors listed in the table who served as representatives of Russia to Tanzania between 1964 and 1991.,1,1
37,Q4436065_22.csv,mix ,ordinal,"Sergei Slipchenko was the third ambassador of Russia to Tanzania, appointed on 26 December 1972.",1,0
38,Q4436065_22.csv,mix ,superlative,"Andrei Timoshchenko had the longest tenure as an ambassador of Russia to Tanzania, serving for approximately 5 years from 26 April 1964 to 2 September 1969.",1,1
39,Q4436065_22.csv,mix ,unique,"Each ambassador in the list has a unique name, indicating there were no repeated appointments of the same individual to the position of Russian ambassador to Tanzania during the period covered by the table.",1,1
40,Q6635366_45.csv,mix ,count,There are 6 different programs listed that have been broadcast by Cartoon Network (Canadian TV channel).,1,1
41,Q6635366_45.csv,mix ,superlative,"Total DramaRama has the most recent finale date among all the listed programs, with its finale airing on April 22, 2023.",1,1
42,Q6635366_45.csv,mix ,simple,"The Day My Butt Went Psycho! premiered on June 12, 2014, and had reruns from 2015 to 2017 and then again from 2021 to present.",1,0
43,Q6635366_45.csv,mix ,aggregation,"On average, the programs listed have a runtime of approximately 2 to 3 years before they conclude their initial broadcast run and move into reruns.",1,1
44,Q6635366_45.csv,mix ,unique,"Each program listed has a unique premiere date, indicating that Cartoon Network (Canadian TV channel) has offered a diverse range of shows over the years without premiering multiple new programs on the same day.",1,1
45,Q1847025_5.csv,mix ,count,There are 17 members listed in the table as part of the Landtag of Liechtenstein from 1939 to 1945.,1,1
46,Q1847025_5.csv,mix ,simple,Anton Frommelt served as the President of the Landtag during this period.,1,1
47,Q1847025_5.csv,mix ,aggregation,"The Progressive Citizens' Party and the Patriotic Union are the two affiliations represented in the Landtag, with a total count of members from both parties being 17.",1,1
48,Q1847025_5.csv,mix ,unique,There are two unique constituencies mentioned in the table: Oberland and Unterland.,1,1
49,Q1847025_5.csv,mix ,simple,Ferdinand Risch died on 16 April 1940 and was succeeded by Bernhard Risch on 7 May 1940.,1,1
50,Q10873233_53.csv,mix ,count,There are 34 individuals listed in the table as alternates or members of the 6th Central Committee of the Chinese Communist Party.,1,0
51,Q10873233_53.csv,mix ,superlative,"The oldest person listed in the table is Shi Wenbin, born in 1887, making him the eldest among his peers.",1,1
52,Q10873233_53.csv,mix ,aggregation,"The average birth year of all individuals listed in the table is approximately 1900, suggesting a general age range for the committee members during that period.",1,1
