,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,2-1458666-4.html.csv,sport,superlative,The United States achieved the highest number of total wins in the World Golf Championships.,1,1
1,2-1458666-4.html.csv,sport,comparative,The United States has more individual wins (31) than Australia and England combined (5 each).,1,0
2,2-1458666-4.html.csv,sport,count,"The United States has 12 individual winners, more than any other nation in the table.",1,1
3,2-1458666-4.html.csv,sport,unique,Germany and Japan are unique in that they have at least one team win but no individual wins.,0,0
4,2-1458666-4.html.csv,sport,simple,Fiji won one individual match with only one winner represented in the data.,1,1
5,2-17814838-6.html.csv,sport,superlative,The match between Manchester United and Tottenham Hotspur had the highest attendance with 75014 spectators.,1,1
6,2-17814838-6.html.csv,sport,negation,"The initial encounter between Liverpool and Everton did not result in a victory for either team, ending in a 1-1 draw.",1,1
7,2-17814838-6.html.csv,sport,comparative,The attendance at the Manchester United versus Tottenham Hotspur match (75014) was higher than that at the Sunderland versus Blackburn Rovers match (22634).,1,1
8,2-17814838-6.html.csv,sport,unique,Arsenal's replay against Cardiff City was the only match with a final score of 4-0.,1,1
9,2-17814838-6.html.csv,sport,count,"There are at least two matches that required replays to determine the winner, as indicated by the 'replay' label in the dataset.",1,1
10,2-170969-2.html.csv,mix,superlative,The parish with the highest area is Dumbarton.,1,0
11,2-170969-2.html.csv,mix,comparative,Saint George has a larger population than Pennfield.,1,1
12,2-170969-2.html.csv,mix,aggregation,The total population of all parishes in Charlotte County is 15267.,1,1
13,2-170969-2.html.csv,mix,unique,There are no two parishes with the same census ranking.,0,0
14,2-170969-2.html.csv,mix,count,There are 15 parishes listed in Charlotte County.,1,0
15,2-14255774-8.html.csv,sport,negation,The Diamondbacks never lost by a score of 1-0.,0,0
16,2-14255774-8.html.csv,sport,surface,DUMMY,0,1
17,2-14255774-8.html.csv,sport,surface,DUMMY,0,1
18,2-14255774-8.html.csv,sport,surface,DUMMY,0,1
19,2-14255774-8.html.csv,sport,surface,DUMMY,0,1
20,2-17964087-2.html.csv,politics,aggregation,The average age at appointment is 36.7 years.,1,1
21,2-17964087-2.html.csv,politics,negation,There are no appointees with American nationality.,1,1
22,2-17964087-2.html.csv,politics,superlative,The highest government salary is HK163960.,1,1
23,2-17964087-2.html.csv,politics,count,There are 2 appointees with British nationality.,1,1
24,2-17964087-2.html.csv,politics,comparative,Katherine Ng Kit-Shuen's salary (HK163960) is higher than that of Paul Chan Chi-Yuen (HK134150).,1,1
25,2-12582968-1.html.csv,sport,superlative,Lukáš Melich achieved his highest score at the world championships in Moscow in 2013 with 79.36 m.,1,1
26,2-12582968-1.html.csv,sport,count,Lukáš Melich participated in a total of 10 competitions between 1998 and 2013.,1,1
27,2-12582968-1.html.csv,sport,ordinal,"The first competition Lukáš Melich participated in was the world junior championships in Annecy, France in 1998 where he finished 10th.",1,1
28,2-12582968-1.html.csv,sport,comparative,"At the London Olympics in 2012, Lukáš Melich achieved a higher score (77.17 m) than at the Beijing Olympics in 2008 (70.56 m).",1,1
29,2-12582968-1.html.csv,sport,simple,"Lukáš Melich competed in the European Championships in Gothenburg, Sweden in 2006 where he finished 15th with a score of 73.77 m.",1,1
30,2-14820149-3.html.csv,sport,superlative,"In 1988, Juan Garriga achieved the highest points (221) in his career.",1,1
31,2-14820149-3.html.csv,sport,simple,Juan Garriga won 3 races in 1988.,1,1
32,2-14820149-3.html.csv,sport,count,Juan Garriga rode for 4 different teams throughout his career.,1,1
33,2-14820149-3.html.csv,sport,ordinal,The first year Juan Garriga raced in the 500cc class was 1986.,1,1
34,2-14820149-3.html.csv,sport,negation,Juan Garriga did not win any races before 1988.,1,1
35,2-12392766-3.html.csv,sport,negation,China did not win any gold medals in the competition.,1,1
36,2-12392766-3.html.csv,sport,superlative,The United States had the highest number of total medals with 36.,1,1
37,2-12392766-3.html.csv,sport,count,"There are three countries tied for sixth place with a total of 3 medals each: South Korea, Sweden, and Italy.",1,1
38,2-12392766-3.html.csv,sport,comparative,The United States has more silver medals (14) than Russia's gold medal count (10).,1,1
39,2-12392766-3.html.csv,sport,unique,Georgia is the only country in the table with exactly one gold and one bronze medal without any silver medals.,1,1
40,2-1140095-1.html.csv,sport,superlative,Jo Siffert achieved the most fastest laps with 3.,1,1
41,2-1140095-1.html.csv,sport,count,There are 4 constructors who won races in the season.,1,1
42,2-1140095-1.html.csv,sport,comparative,McLaren-Ford won more races than Ferrari in the season.,1,0
43,2-1140095-1.html.csv,sport,ordinal,The first race to be won by a Ferrari constructor was the French Grand Prix.,1,1
44,2-1140095-1.html.csv,sport,unique,There are 3 different tyre types used in the season.,1,1
45,2-1123180-2.html.csv,sport,superlative,Michael Schumacher achieved the fastest lap time of 1:32:46.309 in the race.,1,1
46,2-1123180-2.html.csv,sport,comparative,Alain Prost finished with a time that was 0.982 seconds slower than Michael Schumacher.,1,1
47,2-1123180-2.html.csv,sport,count,"There were 5 drivers who completed all 71 laps in the race: Michael Schumacher, Alain Prost, Damon Hill, Jean Alezi, and Karl Wendlinger.",0,1
